Case,AREA_NAME,n_obs,prop_card,prop_n_obs,n_card,n_noncard,n_card_smooth,n_noncard_smooth,prop_n_card,prop_n_noncard,WoE,diff_prop_card,diff_WoE,IV_detail,IV
full,MIEN BAC,3920.0,0.002295918367346939,0.06391964387626983,9.0,3911.0,9.005,3911.005,0.0386397768719159,0.064016135777543,-0.5048529383151842,,,0.012811329357246534,0.1374078101634026
full,DONG NAM BO 1,11826.0,0.0028750211398613224,0.19283512971448138,34.0,11792.0,34.005,11792.005,0.14591289422870632,0.19301396780864916,-0.2797527295607043,0.0005791027725143834,0.2251002087544799,0.013176653899228582,0.1374078101634026
full,HOI SO,342.0,0.0029239766081871343,0.0055766628075725215,1.0,341.0,1.005,341.005,0.004312379317742973,0.005581640110616338,-0.25799286216457523,4.895546832581199e-05,0.021759867396129062,0.0003274602247866774,0.1374078101634026
full,HA NOI,5964.0,0.0030181086519114686,0.09724917246889625,18.0,5946.0,18.005,5946.005,0.07725809912036044,0.09732543512829811,-0.23090861110129363,9.413204372433429e-05,0.027084251063281606,0.004633720686095865,0.1374078101634026
full,DONG NAM BO 2,10645.0,0.0032879286049788633,0.173577706393595,35.0,10610.0,35.005,10610.005,0.15020381892297793,0.1736667482348936,-0.14514505817528725,0.00026981995306739467,0.08576355292600638,0.00340552823994065,0.1374078101634026
full,DONG NAM BO 3,11640.0,0.0036082474226804126,0.18980220783667878,42.0,11598.0,42.005,11598.005,0.18024029178287923,0.18983853583123073,-0.05188298447129061,0.00032031881770154926,0.09326207370399664,0.0004979855469122781,0.1374078101634026
full,TAY NAM BO 2,5356.0,0.004294249439880508,0.08733510525543399,23.0,5333.0,23.005,5333.005,0.09871272259171852,0.08729172480789867,0.12295817170567547,0.0006860020172000953,0.17484115617696608,0.001404305006553061,0.1374078101634026
full,MIEN TRUNG - TAY NGUYEN,6652.0,0.005261575466025256,0.10846772221044565,35.0,6617.0,35.005,6617.005,0.15020381892297793,0.10830850140070926,0.32700951504495135,0.000967326026144748,0.20405134333927588,0.013700167465611332,0.1374078101634026
full,TAY NAM BO 1,4353.0,0.005283712382265104,0.07098015555954147,23.0,4330.0,23.005,4330.005,0.09871272259171852,0.07087441412052403,0.33130434413415566,2.2136916239848606e-05,0.004294829089204311,0.0092229525298534,0.1374078101634026
full,,629.0,0.02066772655007949,0.010256493877085134,12.999999999999998,616.0,13.004999999999999,616.005,0.05580347564900236,0.010082896779637298,1.7109955547739237,0.015384014167814385,1.379691210639768,0.0782277072071742,0.1374078101634026
no_missing,MIEN BAC,3920.0,0.002295918367346939,0.06391964387626983,9.0,3911.0,9.005,3911.005,0.0386397768719159,0.064016135777543,-0.5048529383151842,,,0.012811329357246534,0.13740781016340256
no_missing,DONG NAM BO 1,11826.0,0.0028750211398613224,0.19283512971448138,34.0,11792.0,34.005,11792.005,0.1459128942287063,0.19301396780864916,-0.27975272956070446,0.0005791027725143834,0.22510020875447972,0.013176653899228598,0.13740781016340256
no_missing,HOI SO,342.0,0.0029239766081871343,0.0055766628075725215,1.0,341.0,1.005,341.005,0.004312379317742973,0.005581640110616338,-0.25799286216457523,4.895546832581199e-05,0.02175986739612923,0.0003274602247866774,0.13740781016340256
no_missing,HA NOI,5964.0,0.0030181086519114686,0.09724917246889625,18.0,5946.0,18.005,5946.005,0.07725809912036043,0.09732543512829811,-0.23090861110129376,9.413204372433429e-05,0.027084251063281467,0.004633720686095871,0.13740781016340256
no_missing,DONG NAM BO 2,10645.0,0.0032879286049788633,0.173577706393595,35.0,10610.0,35.005,10610.005,0.1502038189229779,0.1736667482348936,-0.1451450581752875,0.00026981995306739467,0.08576355292600626,0.00340552823994066,0.13740781016340256
no_missing,DONG NAM BO 3,11640.0,0.0036082474226804126,0.18980220783667878,42.0,11598.0,42.005,11598.005,0.1802402917828792,0.18983853583123073,-0.05188298447129073,0.00032031881770154926,0.09326207370399678,0.0004979855469122807,0.13740781016340256
no_missing,TAY NAM BO 2,5356.0,0.004294249439880508,0.08733510525543399,23.0,5333.0,23.005,5333.005,0.09871272259171851,0.08729172480789867,0.12295817170567527,0.0006860020172000953,0.174841156176966,0.0014043050065530571,0.13740781016340256
no_missing,MIEN TRUNG - TAY NGUYEN,6652.0,0.005261575466025256,0.10846772221044565,35.0,6617.0,35.005,6617.005,0.1502038189229779,0.10830850140070926,0.3270095150449512,0.000967326026144748,0.2040513433392759,0.013700167465611316,0.13740781016340256
no_missing,TAY NAM BO 1,4353.0,0.005283712382265104,0.07098015555954147,23.0,4330.0,23.005,4330.005,0.09871272259171851,0.07087441412052403,0.3313043441341555,2.2136916239848606e-05,0.004294829089204311,0.009222952529853392,0.13740781016340256
no_missing,,629.0,0.02066772655007949,0.010256493877085134,12.999999999999998,616.0,13.004999999999999,616.005,0.05580347564900235,0.010082896779637298,1.7109955547739235,0.015384014167814385,1.379691210639768,0.07822770720717417,0.13740781016340256
