Case,TIEN_VA_TIEN_TUONG_DUONG_CK_BIN,n_obs,prop_card,prop_n_obs,n_card,n_noncard,n_card_smooth,n_noncard_smooth,prop_n_card,prop_n_noncard,WoE,diff_prop_card,diff_WoE,IV_detail,IV
full,MISSING,15892,0.0033979360684621195,0.25913545420451023,54.0,15838.0,54.005,15838.005,0.23174630420323128,0.25923979321385465,-0.11211021892055725,0.0003687804455919947,0.11513886357653619,0.0030823010718709215,0.01686520450772217
full,ZERO,164,0.006097560975609756,0.002674189182578636,1.0,163.0,1.005,163.005,0.004312656897032635,0.002668100085384768,0.4801875230038539,0.001605014518595258,0.31192647931461337,0.0007896956618243046,0.01686520450772217
full,"(-inf, 300M]",8930,0.00425531914893617,0.14561286219772693,38.0,8892.0,38.005,8892.005,0.1630870899221147,0.1455462059430188,0.11379074930662035,0.00036713083451834745,0.09059148591615566,0.0019959903314818142,0.01686520450772217
full,"(300M, 850M]",7923,0.003029155622870125,0.12919268837543008,24.0,7899.0,24.005,7899.005,0.1030102774261377,0.12929257332569374,-0.22724908249709344,,,0.005972627629091231,0.01686520450772217
full,"(850M, 2B]",9108,0.0038427755819060165,0.14851533582272083,35.0,9073.0,35.005,9073.005,0.15021348724440536,0.14850885196893607,0.011412964849784766,0.00044483951344389703,0.12352318377034202,1.945494248063425e-05,0.01686520450772217
full,"(2B, 5.5B]",9516,0.003888188314417823,0.15516819671596524,37.0,9479.0,37.005,9479.005,0.15879588902954492,0.15515434526464,0.023199263390464686,4.54127325118063e-05,0.01178629854067992,8.448113294993353e-05,0.01686520450772217
full,"(5.5B, +inf)",9794,0.004492546457014498,0.15970127350106805,44.0,9750.0,44.005,9750.005,0.18883429527753343,0.1595901301984719,0.16826104368924052,0.00023722730807832805,0.054470294382620174,0.004920653738023333,0.01686520450772217
missing_vs_rest,MISSING,15892,0.0033979360684621195,0.25913545420451023,54.0,15838.0,54.005,15838.005,0.23177116861937258,0.2592398992961831,-0.11200334234866577,,,0.0030765896458781034,0.004076748768273739
missing_vs_rest,NON_MISSING,45435,0.003939694068449433,0.7408645457954898,179.0,45256.0,179.005,45256.005,0.7682288313806275,0.7407601007038169,0.03641082415358867,0.0005417579999873138,0.14841416650225445,0.0010001591223956355,0.004076748768273739
no_missing,ZERO,164,0.006097560975609756,0.0036095521074061845,1.0,163.0,1.005,163.005,0.005613584315477853,0.0036018404619229754,0.4437444766832322,0.001605014518595258,0.31192647931461337,0.0008927002235164179,0.01694493805996801
no_missing,"(-inf, 300M]",8930,0.00425531914893617,0.19654451414108068,38.0,8892.0,38.005,8892.005,0.21228285762162769,0.1964822146352652,0.07734770298599879,0.00036713083451834745,0.09059148591615568,0.001222143440696971,0.01694493805996801
no_missing,"(300M, 850M]",7923,0.003029155622870125,0.1743809838230439,24.0,7899.0,24.005,7899.005,0.13408367312740882,0.17454038721469828,-0.2636921288177152,,,0.010668117062647005,0.01694493805996801
no_missing,"(850M, 2B]",9108,0.0038427755819060165,0.20046219874546053,35.0,9073.0,35.005,9073.005,0.19552588951572364,0.20048168166761426,-0.025030081470837025,0.0008136199590358917,0.23866204734687818,0.00012404388131435708,0.01694493805996801
no_missing,"(2B, 5.5B]",9516,0.003888188314417823,0.2094420600858369,37.0,9479.0,37.005,9479.005,0.20669720158632632,0.2094528618617232,-0.01324378293015689,4.54127325118063e-05,0.011786298540680135,3.6495366516612804e-05,0.01694493805996801
no_missing,"(5.5B, +inf)",9794,0.004492546457014498,0.2155606910971718,44.0,9750.0,44.005,9750.005,0.24579679383343575,0.2154410141587762,0.13181799736861885,0.00023722730807832805,0.05447029438262006,0.004001438085276646,0.01694493805996801
